FIPSCode,Jurisdiction_Name,State_Full,State_Abbr,D1a,D1Comments,D2a,D2b,D2Comments,D3a,D3Comments,D4a,D4b,D4c,D5a,D5b,D5c,D4_D5Comments,D6,D7,D6_D7Comments,D8a,D8b,D8c,D8d,D8e,D8f,D8g,string_field_28,string_field_29
2104300000,CARTER COUNTY,KENTUCKY,KY,9133,,8601,532,KENTUCKY HAS IN-PERSON ABSENTEE NOT EARLY VOTE,26,,14,14,0,1,0,1,,107,0,JURISDICTION USES EMPLOYEES,107,0,16,10,38,25,28,,
2106700000,FAYETTE COUNTY,KENTUCKY,KY,124801,,120853,3948,KENTUCKY HAS IN-PERSON ABSENTEE NOT EARLY VOTE,286,,154,154,0,1,0,1,,1140,0,JURISDICTION USES EMPLOYEES,1140,0,15,100,420,430,175,,
2107300000,FRANKLIN COUNTY,KENTUCKY,KY,22158,,21198,960,KENTUCKY HAS IN-PERSON ABSENTEE NOT EARLY VOTE,44,,34,34,0,1,0,1,,181,0,JURISDICTION USES EMPLOYEES FOR IN PERSON ABSENTEE,181,0,6,27,65,53,30,,
2108300000,GRAVES COUNTY,KENTUCKY,KY,13826,,13415,411,KENTUCKY HAS IN-PERSON ABSENTEE NOT EARLY VOTE,30,,30,30,0,1,0,1,,120,10,,130,0,20,20,40,40,10,,
2119300000,PERRY COUNTY,KENTUCKY,KY,10242,,9790,452,KENTUCKY HAS IN-PERSON ABSENTEE NOT EARLY VOTE,37,,34,34,0,1,0,1,,148,2,,148,0,12,25,56,31,24,,
2119500000,PIKE COUNTY,KENTUCKY,KY,20267,,19743,524,KENTUCKY HAS IN-PERSON ABSENTEE NOT EARLY VOTE,57,,56,56,0,1,0,1,,200,4,,200,0,11,18,75,64,32,,
2119900000,PULASKI COUNTY,KENTUCKY,KY,22350,,21338,1012,KENTUCKY HAS IN-PERSON ABSENTEE NOT EARLY VOTE,56,,47,47,0,1,0,1,,241,5,,241,0,13,30,73,69,56,,
2121700000,TAYLOR COUNTY,KENTUCKY,KY,10105,,9629,476,KENTUCKY HAS IN-PERSON ABSENTEE NOT EARLY VOTE,20,,18,18,0,1,0,1,,80,0,JURISDICTION USES EMPLOYEES,80,0,10,6,23,30,11,,
2400100000,ALLEGANY COUNTY,MARYLAND,MD,24002,"INCLUDES IN-PERSON VOTING ON ELECTION DAY, EARLY VOTING, ABSENTEE (INCLUDING UOCAVA), AND PROVISIONAL.",19280,2654,INCLUDES ALL PERSONS WHO VOTED IN-PERSON ON ELECTION DAY OR DURING EARLY VOTING.,37,,36,36,0,1,0,1,,321,94,,415,4,8,33,134,147,89,,
2400300000,ANNE ARUNDEL COUNTY,MARYLAND,MD,231897,"INCLUDES IN-PERSON VOTING ON ELECTION DAY, EARLY VOTING, ABSENTEE (INCLUDING UOCAVA), AND PROVISIONAL.",145759,69496,INCLUDES ALL PERSONS WHO VOTED IN-PERSON ON ELECTION DAY OR DURING EARLY VOTING.,195,,152,152,0,7,6,1,,2282,1110,,3392,43,78,286,1096,1207,682,,
2400500000,BALTIMORE COUNTY,MARYLAND,MD,328973,"INCLUDES IN-PERSON VOTING ON ELECTION DAY, EARLY VOTING, ABSENTEE (INCLUDING UOCAVA), AND PROVISIONAL.",205860,102163,INCLUDES ALL PERSONS WHO VOTED IN-PERSON ON ELECTION DAY OR DURING EARLY VOTING.,236,,186,186,0,11,11,0,,2984,2390,,5363,27,142,574,1729,1768,1123,,
2400900000,CALVERT COUNTY,MARYLAND,MD,39881,"INCLUDES IN-PERSON VOTING ON ELECTION DAY, EARLY VOTING, ABSENTEE (INCLUDING UOCAVA), AND PROVISIONAL.",28601,8839,INCLUDES ALL PERSONS WHO VOTED IN-PERSON ON ELECTION DAY OR DURING EARLY VOTING.,23,,23,23,0,1,0,1,,229,83,,311,11,17,29,98,96,60,,
2401300000,CARROLL COUNTY,MARYLAND,MD,75733,"INCLUDES IN-PERSON VOTING ON ELECTION DAY, EARLY VOTING, ABSENTEE (INCLUDING UOCAVA), AND PROVISIONAL.",55411,16949,INCLUDES ALL PERSONS WHO VOTED IN-PERSON ON ELECTION DAY OR DURING EARLY VOTING.,36,,33,33,0,2,2,0,,586,319,,905,14,27,70,219,282,293,,
2401500000,CECIL COUNTY,MARYLAND,MD,35400,"INCLUDES IN-PERSON VOTING ON ELECTION DAY, EARLY VOTING, ABSENTEE (INCLUDING UOCAVA), AND PROVISIONAL.",25996,7857,INCLUDES ALL PERSONS WHO VOTED IN-PERSON ON ELECTION DAY OR DURING EARLY VOTING.,28,,19,19,0,1,0,1,,283,116,,399,3,13,26,169,119,69,,
2401700000,CHARLES COUNTY,MARYLAND,MD,65553,"INCLUDES IN-PERSON VOTING ON ELECTION DAY, EARLY VOTING, ABSENTEE (INCLUDING UOCAVA), AND PROVISIONAL.",45074,16879,INCLUDES ALL PERSONS WHO VOTED IN-PERSON ON ELECTION DAY OR DURING EARLY VOTING.,43,,43,43,0,2,2,0,,587,278,,865,18,38,51,359,274,125,,
2402100000,FREDERICK COUNTY,MARYLAND,MD,108782,"INCLUDES IN-PERSON VOTING ON ELECTION DAY, EARLY VOTING, ABSENTEE (INCLUDING UOCAVA), AND PROVISIONAL.",77779,23919,INCLUDES ALL PERSONS WHO VOTED IN-PERSON ON ELECTION DAY OR DURING EARLY VOTING.,79,,66,66,0,4,4,0,,741,508,,1248,16,38,54,370,416,354,,
2402500000,HARFORD COUNTY,MARYLAND,MD,111600,"INCLUDES IN-PERSON VOTING ON ELECTION DAY, EARLY VOTING, ABSENTEE (INCLUDING UOCAVA), AND PROVISIONAL.",70992,36032,INCLUDES ALL PERSONS WHO VOTED IN-PERSON ON ELECTION DAY OR DURING EARLY VOTING.,86,,63,63,0,4,4,0,,735,0,,735,2,16,69,296,219,133,,
