State,Jurisdiction,FIPSCode,QD1a,QD1_Comment,QD2a,QD2b,QD2c,QD2d,QD2_Other,QD2e,QD2f,QD2g,QD2_Total,QD2g_Other,QD2_Comment,QD3a,QD3_Comment,QD4a,QD4b,QD4c,QD4d,QD4e,QD4f,QD4_Total,QD4_Comment,QD5,QD5_Comment
DE,SUSSEX COUNTY,1000500000,74,,64,63,1,0,,0,0,-999999,64,,,901,,37,55,58,267,256,228,901,,Somewhat difficult,
FL,ALACHUA COUNTY,1200100000,63,,66,63,-999999,,,2,1,,66,,"One Early Voting site is also and Election Day site, counted in both totals above.",655,,1,25,50,175,207,197,655,,Neither difficult nor easy,
FL,BAY COUNTY,1200500000,44,,48,44,-999999,-999999,,3,1,,48,,,629,,0,13,22,170,207,217,629,,Neither difficult nor easy,
FL,BREVARD COUNTY,1200900000,173,,131,123,0,,,3,5,,131,,,1876,,0,35,57,399,584,801,1876,,Very easy,
FL,CHARLOTTE COUNTY,1201500000,79,,38,35,0,0,,1,2,0,38,,,489,,0,10,14,91,214,160,489,,Very easy,
FL,CITRUS COUNTY,1201700000,31,,33,31,0,,,1,1,,33,,,347,,0,4,1,36,150,156,347,,Very easy,
FL,CLAY COUNTY,1201900000,48,,51,46,-999999,,,4,1,,51,,,319,,,2,9,94,140,74,319,,Neither difficult nor easy,
FL,COLLIER COUNTY,1202100000,62,,67,59,1,-999999,,6,1,,67,,,850,,0,4,77,228,292,249,850,,Somewhat easy,
FL,ESCAMBIA COUNTY,1203300000,79,N/A,78,73,0,-999999,0,3,2,,78,,,871,N/A,0,7,26,193,320,325,871,,Very easy,
FL,FLAGLER COUNTY,1203500000,23,,24,22,-999999,,NA,1,1,,24,,,160,NA,0,2,1,30,70,57,160,,Somewhat easy,
FL,HERNANDO COUNTY,1205300000,37,,39,37,-999999,,,-999999,2,,39,,,353,,0,11,12,58,136,136,353,,Somewhat difficult,
FL,HIGHLANDS COUNTY,1205500000,25,,28,25,-999999,,,2,1,,28,,,267,,0,2,3,37,124,101,267,,Somewhat difficult,
FL,HILLSBOROUGH COUNTY,1205700000,347,,291,275,1,,,13,2,,291,,,3541,,0,140,251,1093,1114,943,3541,,Neither difficult nor easy,
FL,INDIAN RIVER COUNTY,1206100000,37,,25,22,0,,,3,0,,25,,,358,233 worked election day/125 worked early voting. A lot of these workers worked both election day and early voting.,0,2,3,30,87,111,233,,Neither difficult nor easy,
